strain	gisaid_epi_isl	genbank_accession	date	region	iso	country	division	location	region_exposure	country_exposure	division_exposure	length	host	originating_lab	submitting_lab	authors	url	update
Fuyang/FY002/2020	EPI_ISL_424352	?	2020-03-10	Eastern Asia	CHN	China	Anhui	Fuyang	Asia	China	Anhui	29903	Human	unknown	Clinical Laboratory	Ge et al	https://www.gisaid.org	?
Ganzhou/JX81/2020	EPI_ISL_421242	?	2020-01-25	Eastern Asia	CHN	China	Jiangxi	Ganzhou	Asia	China	Jiangxi	29867	Human	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
Germany/NRW-54/2020	EPI_ISL_425140	?	2020-03-20	Western Europe	DEU	Germany	Duesseldorf	?	Europe	Germany	Duesseldorf	29903	Human	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf	Adams et al	https://www.gisaid.org	?
Guangdong/2020XN4243-P0035/2020	EPI_ISL_413853	?	2020-01-30	Eastern Asia	CHN	China	Guangdong	?	Asia	China	Guangdong	29903	Human	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Lu et al	https://www.gisaid.org	?
Guangdong/20SF012/2020	EPI_ISL_403932	?	2020-01-14	Eastern Asia	CHN	China	Guangdong	Shenzhen	Asia	China	Guangdong	29845	Human	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Kang et al	https://www.gisaid.org	?
Guangdong/20SF013/2020	EPI_ISL_403933	?	2020-01-15	Eastern Asia	CHN	China	Guangdong	Shenzhen	Asia	China	Guangdong	29845	Human	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Kang et al	https://www.gisaid.org	?
Guangdong/20SF025/2020	EPI_ISL_403935	?	2020-01-15	Eastern Asia	CHN	China	Guangdong	Shenzhen	Asia	China	Guangdong	29845	Human	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Kang et al	https://www.gisaid.org	?
Guangdong/GDFS2020054-P0005/2020	EPI_ISL_413850	?	2020-02-10	Eastern Asia	CHN	China	Guangdong	?	Asia	China	Guangdong	29903	Human	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Lu et al	https://www.gisaid.org	?
Guangdong/GDSZ202015-P0019/2020	EPI_ISL_413867	?	2020-02-05	Eastern Asia	CHN	China	Guangdong	?	Asia	China	Guangdong	29903	Human	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	Lu et al	https://www.gisaid.org	?
Hangzhou/HZCDC0048L/2020	EPI_ISL_421232	?	2020-01-21	Eastern Asia	CHN	China	Hangzhou	?	Asia	China	Hangzhou	29836	Human	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Li et al	https://www.gisaid.org	?
Hangzhou/HZCDC0119/2020	EPI_ISL_421226	?	2020-01-22	Eastern Asia	CHN	China	Hangzhou	?	Asia	China	Hangzhou	29836	Human	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Li et al	https://www.gisaid.org	?
Japan/AI-I-004/2020	EPI_ISL_407084	?	2020-01-25	Eastern Asia	JPN	Japan	Aichi	?	Asia	Japan	Aichi	29848	Human	Department of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Sekizuka et al	https://www.gisaid.org	?
Japan/KY-V-029/2020	EPI_ISL_408669	LC522972	2020-01-29	Eastern Asia	JPN	Japan	Kyoto	Kyoto	Asia	Japan	Kyoto	29878	Human	Dept. of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Sekizuka et al	https://www.gisaid.org	?
Japan/NA-20-05-1/2020	EPI_ISL_410531	?	2020-01-25	Eastern Asia	JPN	Japan	Nara	?	Asia	Japan	Nara	29878	Human	Dept. of Pathology, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Sekizuka et al	https://www.gisaid.org	?
Japan/TKYE6182/2020	EPI_ISL_414511	?	2020-01	Eastern Asia	JPN	Japan	?	?	Asia	Japan	?	29903	Human	unknown	Ryota Kumagai Tokyo Metropolitan Institute of Public Health	Kumagai et al	https://www.gisaid.org	?
Jiangxi/IVDC-JX-002/2020	EPI_ISL_408486	?	2020-01-11	Eastern Asia	CHN	China	Jiangxi	Pingxiang	Asia	China	Jiangxi	29891	Human	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	Tan et al	https://www.gisaid.org	?
Jingzhou/HBCDC-HB-01/2020	EPI_ISL_412459	?	2020-01-08	Eastern Asia	CHN	China	Hubei	Jingzhou	Asia	China	Hubei	29848	Human	Jingzhou Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Fang et al	https://www.gisaid.org	?
Malaysia/MKAK-CL-2020-5045/2020	EPI_ISL_416829	?	2020-02-20	Southeastern Asia	MYS	Malaysia	Selangor	?	Asia	Malaysia	Selangor	29870	Human	National Public Health Laboratory	Malaysia Genome Institute	Mohd Noor Mat Isa et al	https://www.gisaid.org	?
Malaysia/MKAK-CL-2020-5096/2020	EPI_ISL_416885	?	2020-02-20	Southeastern Asia	MYS	Malaysia	Selangor	?	Asia	Malaysia	Selangor	29858	Human	National Public Health Laboratory	Malaysia Genome Institute	Mohd Noor Mat Isa et al	https://www.gisaid.org	?
Malaysia/MKAK-CL-2020-6430/2020	EPI_ISL_416886	?	2020-02-20	Southeastern Asia	MYS	Malaysia	Selangor	?	Asia	Malaysia	Selangor	29859	Human	National Public Health Laboratory	Malaysia Genome Institute	Mohd Noor Mat Isa et al	https://www.gisaid.org	?
Malaysia/MKAK-CL-2020-7554/2020	EPI_ISL_416907	?	2020-02-20	Southeastern Asia	MYS	Malaysia	Selangor	?	Asia	Malaysia	Selangor	29856	Human	National Public Health Laboratory	Malaysia Genome Institute	Mohd Noor Mat Isa et al	https://www.gisaid.org	?
Nanchang/JX149/2020	EPI_ISL_421247	?	2020-01-27	Eastern Asia	CHN	China	Jiangxi	Nanchang	Asia	China	Jiangxi	29867	Human	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
Pingxiang/JX5/2020	EPI_ISL_421252	?	2020-01-11	Eastern Asia	CHN	China	Jiangxi	Pingxiang	Asia	China	Jiangxi	29867	Human	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
Scotland/EDB100/2020	EPI_ISL_425890	?	2020-03-20	Northern Europe	GBR	United Kingdom	Scotland	?	Europe	United Kingdom	Scotland	29903	Human	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh	COVID-19 Genomics UK (COG-UK) Consortium	McHugh et al	https://www.gisaid.org	?
Scotland/EDB254/2020	EPI_ISL_425956	?	2020-03-26	Northern Europe	GBR	United Kingdom	Scotland	?	Europe	United Kingdom	Scotland	29903	Human	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh	COVID-19 Genomics UK (COG-UK) Consortium	McHugh et al	https://www.gisaid.org	?
Scotland/EDB561/2020	EPI_ISL_426020	?	2020-04-01	Northern Europe	GBR	United Kingdom	Scotland	?	Europe	United Kingdom	Scotland	29903	Human	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian / School of Biological Sciences, University of Edinburgh / Institute of Genetics and Molecular Medicine, University of Edinburgh	COVID-19 Genomics UK (COG-UK) Consortium	McHugh et al	https://www.gisaid.org	?
Shanghai/SH0002/2020	EPI_ISL_416316	?	2020-01-25	Eastern Asia	CHN	China	Shanghai	?	Asia	China	Shanghai	29836	Human	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Wang et al	https://www.gisaid.org	?
Shanghai/SH0003/2020	EPI_ISL_416317	?	2020-01-25	Eastern Asia	CHN	China	Shanghai	?	Asia	China	Shanghai	29836	Human	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Wang et al	https://www.gisaid.org	?
Shanghai/SH0065/2020	EPI_ISL_416368	?	2020-02-05	Eastern Asia	CHN	China	Shanghai	?	Asia	China	Shanghai	29836	Human	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Wang et al	https://www.gisaid.org	?
Shanghai/SH0102/2020	EPI_ISL_416394	?	2020-02-14	Eastern Asia	CHN	China	Shanghai	?	Asia	China	Shanghai	29836	Human	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Wang et al	https://www.gisaid.org	?
Shanghai/SH0109/2020	EPI_ISL_416398	?	2020-02-02	Eastern Asia	CHN	China	Shanghai	?	Asia	China	Shanghai	29835	Human	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Wang et al	https://www.gisaid.org	?
Shanghai/SH0117/2020	EPI_ISL_416403	?	2020-02-02	Eastern Asia	CHN	China	Shanghai	?	Asia	China	Shanghai	29836	Human	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Wang et al	https://www.gisaid.org	?
Shangrao/JX1948/2020	EPI_ISL_421240	?	2020-02-05	Eastern Asia	CHN	China	Jiangxi	Shangrao	Asia	China	Jiangxi	29867	Human	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	Li et al	https://www.gisaid.org	?
Shenzhen/HKU-SZ-002/2020	EPI_ISL_406030	MN938384	2020-01-10	Eastern Asia	CHN	China	Guangdong	Shenzhen	Asia	China	Guangdong	29838	Human	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan et al	https://www.gisaid.org	?
Shenzhen/HKU-SZ-005/2020	EPI_ISL_405839	MN975262	2020-01-11	Eastern Asia	CHN	China	Guangdong	Shenzhen	Asia	China	Guangdong	29891	Human	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan et al	https://www.gisaid.org	?
Shenzhen/SZTH-002/2020	EPI_ISL_406593	?	2020-01-13	Eastern Asia	CHN	China	Guangdong	Shenzhen	Asia	China	Guangdong	29891	Human	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Yang et al	https://www.gisaid.org	?
Singapore/10/2020	EPI_ISL_410716	?	2020-02-04	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29889	Human	National Public Health Laboratory, National Centre for Infectious Diseases	National Centre for Infectious Diseases, National Centre for Infectious Diseases	Octavia et al	https://www.gisaid.org	?
Singapore/11/2020	EPI_ISL_410719	?	2020-02-02	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29845	Human	National Public Health Laboratory	National Public Health Laboratory	Octavia et al	https://www.gisaid.org	?
Singapore/12/2020	EPI_ISL_414378	?	2020-02-17	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29463	Human	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Anderson et al	https://www.gisaid.org	?
Singapore/12Clin/2020	EPI_ISL_418995	?	2020-02-28	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29509	Human	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak et al	https://www.gisaid.org	?
Singapore/13/2020	EPI_ISL_414379	?	2020-02-18	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29462	Human	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Anderson et al	https://www.gisaid.org	?
Singapore/14/2020	EPI_ISL_414380	?	2020-02-13	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29463	Human	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Anderson et al	https://www.gisaid.org	?
Singapore/14Clin/2020	EPI_ISL_418998	?	2020-02-14	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29509	Human	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak et al	https://www.gisaid.org	?
Singapore/15/2020	EPI_ISL_418996	?	2020-01-27	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29509	Human	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak et al	https://www.gisaid.org	?
Singapore/16/2020	EPI_ISL_418997	?	2020-02-06	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29509	Human	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak et al	https://www.gisaid.org	?
Singapore/17/2020	EPI_ISL_418992	?	2020-02-10	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29891	Human	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak et al	https://www.gisaid.org	?
Singapore/18/2020	EPI_ISL_418999	?	2020-03-01	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29509	Human	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak et al	https://www.gisaid.org	?
Singapore/2/2020	EPI_ISL_407987	?	2020-01-25	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29844	Human	Singapore General Hospital	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Anderson et al	https://www.gisaid.org	?
Singapore/21/2020	EPI_ISL_419000	?	2020-02-13	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29509	Human	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak et al	https://www.gisaid.org	?
Singapore/25/2020	EPI_ISL_420102	?	2020-03-05	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29837	Human	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Anderson et al	https://www.gisaid.org	?
Singapore/27/2020	EPI_ISL_420104	?	2020-03-05	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29842	Human	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Anderson et al	https://www.gisaid.org	?
Singapore/30/2020	EPI_ISL_420107	?	2020-03-09	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29440	Human	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Anderson et al	https://www.gisaid.org	?
Singapore/5/2020	EPI_ISL_410536	?	2020-02-06	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29843	Human	Singapore General Hospital, Molecular Laboratory, Division of Pathology	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Anderson et al	https://www.gisaid.org	?
Singapore/6/2020	EPI_ISL_410537	?	2020-02-09	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29829	Human	Singapore General Hospital, Molecular Laboratory, Division of Pathology	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Anderson et al	https://www.gisaid.org	?
Singapore/8/2020	EPI_ISL_410714	?	2020-02-03	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29758	Human	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia et al	https://www.gisaid.org	?
Singapore/9/2020	EPI_ISL_410715	?	2020-02-04	Southeastern Asia	SGP	Singapore	Singapore	Singapore	Asia	Singapore	Singapore	29891	Human	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia et al	https://www.gisaid.org	?
Switzerland/42202619/2020	EPI_ISL_418439	?	2020-03-22	Western Europe	CHE	Switzerland	Basel	?	Europe	Switzerland	Basel	29903	Human	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Hirsch et al	https://www.gisaid.org	?
Switzerland/42202622/2020	EPI_ISL_418438	?	2020-03-22	Western Europe	CHE	Switzerland	Basel	?	Europe	Switzerland	Basel	29903	Human	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Hirsch et al	https://www.gisaid.org	?
Taiwan/3/2020	EPI_ISL_411926	?	2020-01-24	Eastern Asia	TWN	Taiwan	Taiwan	Taipei	Asia	Taiwan	Taiwan	29891	Human	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control	Yang et al	https://www.gisaid.org	?
Taiwan/4/2020	EPI_ISL_411927	?	2020-01-28	Eastern Asia	TWN	Taiwan	Taiwan	Taipei	Asia	Taiwan	Taiwan	29890	Human	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control	Yang et al	https://www.gisaid.org	?
Taiwan/CGMH-CGU-01/2020	EPI_ISL_411915	?	2020-01-25	Eastern Asia	TWN	Taiwan	Taiwan	Taoyuan	Asia	Taiwan	Taiwan	29862	Human	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan.	Tsao et al	https://www.gisaid.org	?
USA/AK-PHL002/2020	EPI_ISL_420303	?	2020-03-15	North America	USA	USA-West	Alaska	Fairbanks	North America	USA	Alaska	29847	Human	Alaska State Virology Laboratory	Alaska State Virology Laboratory	Chen et al	https://www.gisaid.org	?
USA/AK-PHL003/2020	EPI_ISL_420304	?	2020-03-15	North America	USA	USA-West	Alaska	Fairbanks	North America	USA	Alaska	29850	Human	Alaska State Virology Laboratory	Alaska State Virology Laboratory	Chen et al	https://www.gisaid.org	?
USA/AK-PHL015/2020	EPI_ISL_420306	?	2020-03-16	North America	USA	USA-West	Alaska	Ketchikan	North America	USA	Alaska	29877	Human	Alaska State Virology Laboratory	Alaska State Virology Laboratory	Chen et al	https://www.gisaid.org	?
USA/AK-PHL037/2020	EPI_ISL_424346	?	2020-03-21	North America	USA	USA-West	Alaska	Ketchikan	North America	USA	Alaska	29857	Human	Alaska State Virology Laboratory	Alaska State Virology Laboratory	Chen et al	https://www.gisaid.org	?
USA/AZ-ASU2922/2020	EPI_ISL_424668	?	2020-03-16	North America	USA	USA-West	Arizona	?	North America	USA	Arizona	29903	Human	Arizona State University Health Services	Arizona State University	Maqsood et al	https://www.gisaid.org	?
USA/AZ-ASU2923/2020	EPI_ISL_424669	?	2020-03-16	North America	USA	USA-West	Arizona	?	North America	USA	Arizona	29903	Human	Arizona State University Health Services	Arizona State University	Maqsood et al	https://www.gisaid.org	?
USA/AZ_4811/2020	EPI_ISL_420784	?	2020-03-02	North America	USA	USA-West	Arizona	?	North America	USA	Arizona	29882	Human	AZ Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?
USA/CA-CDPH-UC2/2020	EPI_ISL_413558	?	2020-02-27	North America	USA	USA-West	California	Solano County	North America	USA	California	29903	Human	California Department of Public Health	Chiu Laboratory, University of California, San Francisco	Deng et al	https://www.gisaid.org	?
